index,disease_name,supplement name,supplement image,buy link
20,"Pepper,_bell___healthy",Casa De Amor Organic Potash Fertilizer,https://5.imimg.com/data5/SELLER/Default/2026/1/576225527/SH/VP/IQ/56203123/organic-manure-250x250.jpg,https://www.indiamart.com/proddetail/organic-manure-2858487354648.html?pos=1&kwd=casa%20de%20amor%20organic%20potash%20fertilizer&tags=rk:A|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:L|rsf:gd|prv:8|ri:L_A_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1-br|mtp:G|wc:6|lcf:3|cq:pune|qr_nm:gl-gd|cs:20618|com-cf:nl|ptrs:na|mc:530|cat:99|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:0|v=4|crs=city-landing|r=4
21,Potato___Early_blight,Parin Herbal Fungicides (With Turmeric Extract),https://5.imimg.com/data5/SELLER/Default/2023/6/321004979/EJ/DC/PZ/4329396/amrut-fungistar-botanical-fungiside-1000x1000.png,https://www.indiamart.com/proddetail/amrut-fungistar-botanical-fungiside-5040757933.html?pos=1&kwd=turmeric%20extract%20parin%20herbal%20fungicides&tags=rk:B|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_B_0_P|em:0-|-res:RC3|ktp:N0|mtp:S|wc:6|lcf:1|cq:pune|qr_nm:highmct-localhgmct-gl-gd|cs:21324|com-cf:nl|ptrs:na|mc:220976|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ls|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0|v=4|r=4
22,Potato___Late_blight,Syngenta Ridomil gold Fungicide ,https://5.imimg.com/data5/SELLER/Default/2023/6/314320229/ZK/OA/VA/88101488/img20221104164149-1000x1000.jpeg,https://www.indiamart.com/proddetail/syngenta-ridomil-gold-fungicide-27454124873.html?pos=1&kwd=syngenta%20ridomil%20gold%20fungicide&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:1195|ri:T_B_0_P|em:1-|-res:RC2|ktp:N0|stype:attr=1-br|mtp:Brn|wc:4|lcf:1|cq:pune|qr_nm:gl-gd|cs:19725|com-cf:nl|ptrs:na|mc:205669|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260331|mrd:260322|prdt:260401|msf:ms|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:2|v=4|crs=city-landing|r=3
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://rukminim1.flixcart.com/image/416/416/kfvfwy80/soil-manure/6/p/g/30-fertilizer-for-potato-saosis-original-imafw8b3sgcyrhh4.jpeg?q=70,"https://www.flipkart.com/saosis-fertilizer-potato/p/itmc40dfbfcd49f7?pid=SMNFW8B3DTY2V6PG&lid=LSTSMNFW8B3DTY2V6PGHC2BXS&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_3TcmjyWFqJEZtCD0SQiDb9UFyESkiYtgU35W5Qs_KnTCkDS_Px2Y4aArmBEALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://5.imimg.com/data5/SELLER/Default/2025/8/532977849/QS/CV/RJ/32160973/frozen-raspberry-fruits-1000x1000.jpg,https://www.indiamart.com/proddetail/frozen-raspberry-fruits-2853986452233.html?pos=8&kwd=karens%20naturals%20organic%20just%20raspberries&tags=rk:B|plc:1|dt:271|db:06|prc:1|dtp:p|pfs:1|sv:VGP|rsf:splt|prv:599|ri:VGP_B_G250_P|em:0-|-res:RC5|ktp:N0|mtp:S|wc:5|lcf:3|cq:pune|qr_nm:gl-splt-gd|cs:19937|com-cf:nl|ptrs:na|mc:84507|cat:10|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0|v=4|crs=city-landing|r=4
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://5.imimg.com/data5/EG/GH/MY-1441393/organic-npk-fertilizer-1000x1000.jpg,https://www.indiamart.com/proddetail/99-organic-npk-fertilizer-13443315230.html?pos=1&kwd=max%20crop%20liquid%20fertilizer&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:80|ri:T_B_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:SP|wc:4|lcf:3|cq:pune|qr_nm:gl-gd|cs:19575|com-cf:nl|ptrs:na|mc:121040|cat:99|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|lf:1|emt:0|v=4|crs=city-landing|r=4
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://5.imimg.com/data5/SELLER/Default/2024/8/446009471/ZW/UR/QU/141644164/mandmr-1l-1-500x500.jpg,https://www.indiamart.com/proddetail/zyax-moss-mildew-remover-ready-to-use-1-litre-2854738393530.html?pos=1&kwd=no%20powder%20mildew%201%20quart&tags=rk:A|plc:1|dt:120|db:03|prc:1|dtp:p|pfs:1|sv:T|rsf:gl|prv:300|ri:T_A_250_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:5|lcf:3|cq:pune|qr_nm:gl-splt-gd|cs:19895|com-cf:nl|ptrs:na|mc:38698|cat:519|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|qcr:1|qm:o|msf:ls|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0|v=4|crs=city-landing|r=4
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://5.imimg.com/data5/SELLER/Default/2023/6/320995719/YG/OB/QB/4329396/out-second-generation-of-organic-fungicide-1000x1000.png,https://www.indiamart.com/proddetail/out-second-generation-of-organic-fungicide-5040758991.html?pos=1&kwd=greatindos%20premium%20quality%20all%20in%201%20organic%20fungicide&tags=rk:A|plc:1|dt:0|db:01||dtp:p|pfs:1|sv:T|rsf:gd||ri:T_A_0_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|wc:8|lcf:3|cq:pune|qr_nm:gl-gd|cs:21144|com-cf:nl|ptrs:na|mc:153488|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0|v=4|crs=city-landing|r=4
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://rukminim1.flixcart.com/image/416/416/k2urhjk0/soil-manure/q/y/d/500-organic-plant-growth-promoter-strawberry-swiss-green-original-imafm3vx8mzyhxzg.jpeg?q=70,https://www.flipkart.com/swiss-green-organic-plant-growth-promoter-strawberry-fertilizer-manure/p/itmcaf7955b802fa?pid=SMNFM3TT2RNZEQYD&lid=LSTSMNFM3TT2RNZEQYDIGMSRD&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,image.png,https://www.indiamart.com/proddetail/bactericide-fungicide-liquid-9899945512.html?pos=1&kwd=cureal%20best%20fungicide%20&%20bactericide&tags=rk:TS|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:180|ri:T_TS_0_P|em:0-|-res:RC1-R7|ktp:N0|mtp:S|wc:5|lcf:3|cq:pune|qr_nm:localhgmct-gl-gd|cs:19360|com-cf:nl|ptrs:na|mc:153488|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0|v=4|r=4
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://5.imimg.com/data5/SELLER/Default/2025/12/570752169/BD/QL/FA/100904096/100g-bayer-nativo-systemic-fungicide-1000x1000.jpeg,https://www.indiamart.com/proddetail/100g-bayer-nativo-systemic-fungicide-2858215097073.html?pos=1&kwd=nativo%20fungicide&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:700|ri:M_B_0_P|em:1-|-res:RC2|ktp:N0|stype:attr=1|mtp:Brn|wc:2|lcf:1|cq:pune|qr_nm:gl-gd|cs:18136|com-cf:nl|ptrs:na|mc:443587|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260331|mrd:260305|prdt:260401|msf:ms|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:8|v=4|crs=city-landing|r=5
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://5.imimg.com/data5/SELLER/Default/2022/11/LI/FC/QF/26493311/basf-fungicides-1000x1000.jpeg,https://www.indiamart.com/proddetail/basf-acrobat-fungicides-500gm-2848945978430.html?pos=1&kwd=acrobat%20fungicide&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:1450|ri:T_T_0_P|em:1-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:localhgmct-gl-gd|cs:18446|com-cf:nl|ptrs:na|mc:1451|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:6|v=4|crs=city-landing|r=3
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://5.imimg.com/data5/SELLER/Default/2024/2/386387850/SX/AH/PD/39198535/chili-leafe-curl-virus-special-v-crush-1000x1000.jpg,https://www.indiamart.com/proddetail/chili-leaf-curl-virus-control-special-v-crush-2853336731662.html?pos=2&kwd=immuno%20enviro%20virus%20special%20set&tags=rk:O|plc:1|dt:1153|db:24|prc:1|dtp:p|pfs:1|sv:T|rsf:splt|prv:1000|ri:T_O_G250_P|em:0-|-res:RC3|ktp:N0|stype:attr=1|mtp:S|isu:1|wc:10|lcf:3|cq:pune|qr_nm:gl-splt-gd|cs:22448|com-cf:nl|ptrs:na|mc:216805|cat:701|qry_typ:P|msc:2|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0|v=4|crs=city-landing|r=4
33,Tomato___Septoria_leaf_spot,image.png,https://www.indiamart.com/proddetail/roko-fungicide-powder-2858215106855.html?pos=1&kwd=roko%20fungicide&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:M|rsf:gd|prv:255|ri:M_B_0_P|em:1-|-res:RC2|ktp:N0|stype:attr=1|mtp:G|wc:2|lcf:3|cq:pune|qr_nm:gl-gd|cs:17471|com-cf:nl|ptrs:na|mc:1451|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260331|mrd:260401|prdt:260401|msf:ms|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:9|v=4|crs=city-landing|r=5
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://5.imimg.com/data5/SELLER/Default/2022/12/YW/RL/XN/26493311/screenshot-2022-12-16-at-9-07-04-pm-1000x1000.png,https://www.indiamart.com/proddetail/omite-insecticide-dhanuka-1lit-2849302593133.html?pos=1&kwd=omite%20insecticide&tags=rk:T|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:1400|ri:T_T_0_P|em:1-|-res:RC1-R7|ktp:N0|mtp:SP|wc:2|lcf:3|cq:pune|qr_nm:localhgmct-gl-gd|cs:18050|com-cf:nl|ptrs:na|mc:2020|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:4|v=4|r=3
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://5.imimg.com/data5/JD/TR/MY-6399641/syngenta-amistar-top-1000x1000.jpg,https://www.indiamart.com/proddetail/syngenta-amistar-top-200-ml-18686663255.html?pos=1&kwd=syngenta%20amistor%20top%20fungicide&tags=rk:B|plc:1|dt:0|db:01|prc:1|dtp:p|pfs:1|sv:T|rsf:gd|prv:1170|ri:T_B_0_P|em:0-|-res:RC2|ktp:N0|stype:attr=1|mtp:Brn|wc:4|lcf:1|cq:pune|qr_nm:localhgmct-gl-gd|cs:20475|com-cf:nl|ptrs:na|mc:205669|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ms|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0|v=4|crs=city-landing|r=3
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://5.imimg.com/data5/SELLER/Default/2026/1/574252801/QJ/RF/IS/262833999/virotech-virus-controller-1000x1000.png,https://www.indiamart.com/proddetail/virotech-virus-controller-2858439502333.html?pos=1&kwd=v%20bind%20viral%20disease%20special&tags=rk:C|plc:1|dt:0|db:01|prc:1|dtp:p||sv:VGP|rsf:localhgmct|prv:2000|ri:VGP_C_0_P|em:0-|-res:RC1-R5|ktp:N0|stype:attr=1|mtp:S|wc:5|lcf:1|cq:pune|qr_nm:localhgmct-gl-gd|cs:20589|com-cf:nl|ptrs:na|mc:442457|cat:203|qry_typ:P|lang:en|tyr:1|qrd:260401|mrd:260401|prdt:260401|msf:ls|pfen:1|gli:U0G0I0|gc:Pune|ic:Pune|scw:1|emt:0|v=4|crs=city-landing
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://5.imimg.com/data5/SELLER/Default/2023/9/346463736/FD/JR/GP/16353493/arbuda-arban-tc-chlorpyriphos-500x500.jpg,https://www.indiamart.com/mankeshwari-agroservices/household-insecticide.html#2852473424348
